appliance_name,tariff,price_level,start_minute,end_minute,start_time_48h,end_time_48h,duration_minutes,interval_type
Tumble Dryer,Economy_10,-1,1410,1800,23:30,30:00,390,FORBIDDEN
Tumble Dryer,Economy_10,-1,1440,1800,24:00,30:00,360,FORBIDDEN
Tumble Dryer,Economy_10,1,1800,2220,30:00,37:00,420,AVAILABLE
Tumble Dryer,Economy_10,0,2220,2280,37:00,38:00,60,AVAILABLE
Tumble Dryer,Economy_10,-1,2850,3240,47:30,54:00,390,FORBIDDEN
Upright Freezer,Economy_10,-1,0,390,00:00,06:30,390,FORBIDDEN
Upright Freezer,Economy_10,1,390,780,06:30,13:00,390,AVAILABLE
Upright Freezer,Economy_10,0,780,960,13:00,16:00,180,AVAILABLE
Upright Freezer,Economy_10,1,960,1200,16:00,20:00,240,AVAILABLE
Upright Freezer,Economy_10,0,1200,1320,20:00,22:00,120,AVAILABLE
Upright Freezer,Economy_10,1,1320,1380,22:00,23:00,60,AVAILABLE
Upright Freezer,Economy_10,-1,1380,1440,23:00,24:00,60,FORBIDDEN
Washing Machine,Economy_10,-1,0,360,00:00,06:00,360,FORBIDDEN
Washing Machine,Economy_10,1,360,780,06:00,13:00,420,AVAILABLE
Washing Machine,Economy_10,0,780,960,13:00,16:00,180,AVAILABLE
Washing Machine,Economy_10,1,960,1200,16:00,20:00,240,AVAILABLE
Washing Machine,Economy_10,0,1200,1320,20:00,22:00,120,AVAILABLE
Washing Machine,Economy_10,1,1320,1410,22:00,23:30,90,AVAILABLE
Washing Machine,Economy_10,-1,1410,1800,23:30,30:00,390,FORBIDDEN
Washing Machine,Economy_10,-1,1440,1800,24:00,30:00,360,FORBIDDEN
Washing Machine,Economy_10,1,1800,2220,30:00,37:00,420,AVAILABLE
Washing Machine,Economy_10,0,2220,2280,37:00,38:00,60,AVAILABLE
Washing Machine,Economy_10,-1,2850,3240,47:30,54:00,390,FORBIDDEN
