event_id,appliance_name,appliance_ID,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,appliance_id,label,month,cost_TOU_D,energy_TOU_D,cost_TOU_D_Base,energy_TOU_D_Base
Fridge-Freezer_2014-03-07_14,Fridge-Freezer,Appliance1,Base,2014-03-07 15:47:00,2014-03-07 16:34:00,47.0,4451.52,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0319,0.0742,0.0445,0.0742
Fridge-Freezer_2014-03-07_15,Fridge-Freezer,Appliance1,Base,2014-03-07 17:17:00,2014-03-07 17:46:00,29.0,2607.69,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0222,0.0435,0.0261,0.0435
Fridge-Freezer_2014-03-07_16,Fridge-Freezer,Appliance1,Base,2014-03-07 18:09:00,2014-03-07 18:31:00,22.0,1680.62,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0143,0.028,0.0168,0.028
Fridge-Freezer_2014-03-07_17,Fridge-Freezer,Appliance1,Base,2014-03-07 18:38:00,2014-03-07 19:11:00,33.0,2820.9,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.024,0.047,0.0282,0.047
Fridge-Freezer_2014-03-07_18,Fridge-Freezer,Appliance1,Base,2014-03-07 20:10:00,2014-03-07 20:39:00,29.0,4298.09,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.033,0.0716,0.043,0.0716
Fridge-Freezer_2014-03-07_19,Fridge-Freezer,Appliance1,Base,2014-03-07 21:40:00,2014-03-07 22:14:00,34.0,2126.73,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0162,0.0354,0.0213,0.0354
Fridge-Freezer_2014-03-07_20,Fridge-Freezer,Appliance1,Base,2014-03-07 22:18:00,2014-03-07 22:39:00,21.0,1677.39,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.012,0.028,0.0168,0.028
Fridge-Freezer_2014-03-07_21,Fridge-Freezer,Appliance1,Base,2014-03-07 23:11:00,2014-03-07 23:41:00,30.0,2605.7,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0187,0.0434,0.0261,0.0434
Fridge-Freezer_2014-03-08_01,Fridge-Freezer,Appliance1,Base,2014-03-08 00:27:00,2014-03-08 01:12:00,45.0,4028.0,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0289,0.0671,0.0403,0.0671
Fridge-Freezer_2014-03-08_02,Fridge-Freezer,Appliance1,Base,2014-03-08 02:15:00,2014-03-08 03:03:00,48.0,4095.21,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0293,0.0683,0.041,0.0683
Fridge-Freezer_2014-03-08_03,Fridge-Freezer,Appliance1,Base,2014-03-08 03:48:00,2014-03-08 04:16:00,28.0,2498.14,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0179,0.0416,0.025,0.0416
Fridge-Freezer_2014-03-08_04,Fridge-Freezer,Appliance1,Base,2014-03-08 05:00:00,2014-03-08 05:49:00,49.0,4169.95,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0299,0.0695,0.0417,0.0695
Fridge-Freezer_2014-03-08_05,Fridge-Freezer,Appliance1,Base,2014-03-08 06:54:00,2014-03-08 07:36:00,42.0,4186.31,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.03,0.0698,0.0419,0.0698
Fridge-Freezer_2014-03-08_06,Fridge-Freezer,Appliance1,Base,2014-03-08 08:26:00,2014-03-08 08:54:00,28.0,2555.75,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0183,0.0426,0.0256,0.0426
Fridge-Freezer_2014-03-08_07,Fridge-Freezer,Appliance1,Base,2014-03-08 09:23:00,2014-03-08 09:44:00,21.0,1613.69,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0116,0.0269,0.0161,0.0269
Fridge-Freezer_2014-03-08_08,Fridge-Freezer,Appliance1,Base,2014-03-08 09:57:00,2014-03-08 10:27:00,30.0,2568.67,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0184,0.0428,0.0257,0.0428
Fridge-Freezer_2014-03-08_09,Fridge-Freezer,Appliance1,Base,2014-03-08 11:30:00,2014-03-08 12:00:00,30.0,4265.53,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0306,0.0711,0.0427,0.0711
Fridge-Freezer_2014-03-08_10,Fridge-Freezer,Appliance1,Base,2014-03-08 13:02:00,2014-03-08 13:34:00,32.0,2623.15,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0188,0.0437,0.0262,0.0437
Fridge-Freezer_2014-03-08_11,Fridge-Freezer,Appliance1,Base,2014-03-08 13:38:00,2014-03-08 14:04:00,26.0,1943.74,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0139,0.0324,0.0194,0.0324
Fridge-Freezer_2014-03-08_12,Fridge-Freezer,Appliance1,Base,2014-03-08 14:34:00,2014-03-08 15:04:00,30.0,2610.19,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0187,0.0435,0.0261,0.0435
Fridge-Freezer_2014-03-08_13,Fridge-Freezer,Appliance1,Base,2014-03-08 15:51:00,2014-03-08 16:36:00,45.0,4345.86,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0311,0.0724,0.0435,0.0724
Fridge-Freezer_2014-03-08_14,Fridge-Freezer,Appliance1,Base,2014-03-08 17:39:00,2014-03-08 18:26:00,47.0,5837.19,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0496,0.0973,0.0584,0.0973
Fridge-Freezer_2014-03-08_15,Fridge-Freezer,Appliance1,Base,2014-03-08 19:17:00,2014-03-08 19:48:00,31.0,2745.5,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0233,0.0458,0.0275,0.0458
Fridge-Freezer_2014-03-08_16,Fridge-Freezer,Appliance1,Base,2014-03-08 20:03:00,2014-03-08 20:25:00,22.0,1640.54,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0126,0.0273,0.0164,0.0273
Fridge-Freezer_2014-03-08_17,Fridge-Freezer,Appliance1,Base,2014-03-08 20:49:00,2014-03-08 21:20:00,31.0,2748.71,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0211,0.0458,0.0275,0.0458
Fridge-Freezer_2014-03-08_18,Fridge-Freezer,Appliance1,Base,2014-03-08 22:07:00,2014-03-08 22:52:00,45.0,4352.13,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0312,0.0725,0.0435,0.0725
Fridge-Freezer_2014-03-08_19,Fridge-Freezer,Appliance1,Base,2014-03-08 23:54:00,2014-03-09 00:36:00,42.0,4310.02,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0309,0.0718,0.0431,0.0718
Fridge-Freezer_2014-03-09_01,Fridge-Freezer,Appliance1,Base,2014-03-09 01:27:00,2014-03-09 01:57:00,30.0,2631.82,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0189,0.0439,0.0263,0.0439
Fridge-Freezer_2014-03-09_02,Fridge-Freezer,Appliance1,Base,2014-03-09 02:24:00,2014-03-09 02:44:00,20.0,1567.68,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0112,0.0261,0.0157,0.0261
Fridge-Freezer_2014-03-09_03,Fridge-Freezer,Appliance1,Base,2014-03-09 03:00:00,2014-03-09 03:29:00,29.0,2565.51,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0184,0.0428,0.0257,0.0428
Fridge-Freezer_2014-03-09_04,Fridge-Freezer,Appliance1,Base,2014-03-09 04:34:00,2014-03-09 05:03:00,29.0,4188.35,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.03,0.0698,0.0419,0.0698
Fridge-Freezer_2014-03-09_05,Fridge-Freezer,Appliance1,Base,2014-03-09 06:08:00,2014-03-09 06:37:00,29.0,2541.47,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0182,0.0424,0.0254,0.0424
Fridge-Freezer_2014-03-09_06,Fridge-Freezer,Appliance1,Base,2014-03-09 07:00:00,2014-03-09 07:20:00,20.0,1511.95,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0108,0.0252,0.0151,0.0252
Fridge-Freezer_2014-03-09_07,Fridge-Freezer,Appliance1,Base,2014-03-09 07:42:00,2014-03-09 08:16:00,34.0,2719.99,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0195,0.0453,0.0272,0.0453
Fridge-Freezer_2014-03-09_08,Fridge-Freezer,Appliance1,Base,2014-03-09 09:06:00,2014-03-09 09:46:00,40.0,4407.63,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0316,0.0735,0.0441,0.0735
Fridge-Freezer_2014-03-09_09,Fridge-Freezer,Appliance1,Base,2014-03-09 10:50:00,2014-03-09 11:38:00,48.0,4360.69,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0313,0.0727,0.0436,0.0727
Fridge-Freezer_2014-03-09_10,Fridge-Freezer,Appliance1,Base,2014-03-09 12:23:00,2014-03-09 12:53:00,30.0,2699.49,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0193,0.045,0.027,0.045
Fridge-Freezer_2014-03-09_11,Fridge-Freezer,Appliance1,Base,2014-03-09 13:26:00,2014-03-09 14:27:00,61.0,4995.95,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0358,0.0833,0.05,0.0833
Fridge-Freezer_2014-03-09_12,Fridge-Freezer,Appliance1,Base,2014-03-09 15:29:00,2014-03-09 16:00:00,31.0,4506.11,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0323,0.0751,0.0451,0.0751
Fridge-Freezer_2014-03-09_13,Fridge-Freezer,Appliance1,Base,2014-03-09 17:02:00,2014-03-09 17:53:00,51.0,4171.74,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0355,0.0695,0.0417,0.0695
Fridge-Freezer_2014-03-09_14,Fridge-Freezer,Appliance1,Base,2014-03-09 18:35:00,2014-03-09 19:05:00,30.0,2713.92,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0231,0.0452,0.0271,0.0452
Fridge-Freezer_2014-03-09_15,Fridge-Freezer,Appliance1,Base,2014-03-09 19:06:00,2014-03-09 19:35:00,29.0,2043.96,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0174,0.0341,0.0204,0.0341
Fridge-Freezer_2014-03-09_16,Fridge-Freezer,Appliance1,Base,2014-03-09 20:08:00,2014-03-09 20:39:00,31.0,2700.75,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0207,0.045,0.027,0.045
Fridge-Freezer_2014-03-09_17,Fridge-Freezer,Appliance1,Base,2014-03-09 21:14:00,2014-03-09 21:36:00,22.0,1668.33,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0128,0.0278,0.0167,0.0278
Fridge-Freezer_2014-03-09_18,Fridge-Freezer,Appliance1,Base,2014-03-09 21:40:00,2014-03-09 22:11:00,31.0,2699.39,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0203,0.045,0.027,0.045
Fridge-Freezer_2014-03-09_19,Fridge-Freezer,Appliance1,Base,2014-03-09 23:13:00,2014-03-09 23:43:00,30.0,4248.92,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0305,0.0708,0.0425,0.0708
Fridge-Freezer_2014-03-10_01,Fridge-Freezer,Appliance1,Base,2014-03-10 00:46:00,2014-03-10 01:15:00,29.0,2609.73,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0187,0.0435,0.0261,0.0435
Fridge-Freezer_2014-03-10_02,Fridge-Freezer,Appliance1,Base,2014-03-10 01:26:00,2014-03-10 01:46:00,20.0,1535.09,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.011,0.0256,0.0154,0.0256
Fridge-Freezer_2014-03-10_03,Fridge-Freezer,Appliance1,Base,2014-03-10 02:20:00,2014-03-10 02:49:00,29.0,2600.69,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0186,0.0433,0.026,0.0433
Fridge-Freezer_2014-03-10_04,Fridge-Freezer,Appliance1,Base,2014-03-10 03:40:00,2014-03-10 04:23:00,43.0,4141.57,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0297,0.069,0.0414,0.069
Fridge-Freezer_2014-03-10_05,Fridge-Freezer,Appliance1,Base,2014-03-10 05:27:00,2014-03-10 06:16:00,49.0,3962.14,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0284,0.066,0.0396,0.066
Fridge-Freezer_2014-03-10_06,Fridge-Freezer,Appliance1,Base,2014-03-10 07:01:00,2014-03-10 07:29:00,28.0,2430.46,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0174,0.0405,0.0243,0.0405
Fridge-Freezer_2014-03-10_07,Fridge-Freezer,Appliance1,Base,2014-03-10 07:42:00,2014-03-10 07:47:00,5.0,43.93,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0003,0.0007,0.0004,0.0007
Fridge-Freezer_2014-03-10_08,Fridge-Freezer,Appliance1,Base,2014-03-10 07:58:00,2014-03-10 08:21:00,23.0,1725.1,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0124,0.0288,0.0173,0.0288
Fridge-Freezer_2014-03-10_09,Fridge-Freezer,Appliance1,Base,2014-03-10 08:32:00,2014-03-10 09:02:00,30.0,2636.0,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0189,0.0439,0.0264,0.0439
Fridge-Freezer_2014-03-10_10,Fridge-Freezer,Appliance1,Base,2014-03-10 10:21:00,2014-03-10 10:35:00,14.0,1701.61,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0122,0.0284,0.017,0.0284
Fridge-Freezer_2014-03-10_11,Fridge-Freezer,Appliance1,Base,2014-03-10 11:35:00,2014-03-10 12:07:00,32.0,2611.09,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0187,0.0435,0.0261,0.0435
Fridge-Freezer_2014-03-10_12,Fridge-Freezer,Appliance1,Base,2014-03-10 12:15:00,2014-03-10 12:35:00,20.0,1567.74,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0112,0.0261,0.0157,0.0261
Fridge-Freezer_2014-03-10_13,Fridge-Freezer,Appliance1,Base,2014-03-10 13:11:00,2014-03-10 13:41:00,30.0,2666.47,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0191,0.0444,0.0267,0.0444
Fridge-Freezer_2014-03-10_14,Fridge-Freezer,Appliance1,Base,2014-03-10 14:09:00,2014-03-10 14:31:00,22.0,1656.32,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0119,0.0276,0.0166,0.0276
Fridge-Freezer_2014-03-10_15,Fridge-Freezer,Appliance1,Base,2014-03-10 14:43:00,2014-03-10 15:13:00,30.0,2686.92,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0193,0.0448,0.0269,0.0448
Fridge-Freezer_2014-03-10_16,Fridge-Freezer,Appliance1,Base,2014-03-10 16:08:00,2014-03-10 16:45:00,37.0,4341.93,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0311,0.0724,0.0434,0.0724
Fridge-Freezer_2014-03-10_17,Fridge-Freezer,Appliance1,Base,2014-03-10 17:45:00,2014-03-10 18:26:00,41.0,4731.19,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0402,0.0789,0.0473,0.0789
Fridge-Freezer_2014-03-10_18,Fridge-Freezer,Appliance1,Base,2014-03-10 19:17:00,2014-03-10 19:46:00,29.0,2624.26,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0223,0.0437,0.0262,0.0437
Fridge-Freezer_2014-03-10_19,Fridge-Freezer,Appliance1,Base,2014-03-10 20:04:00,2014-03-10 20:24:00,20.0,1533.65,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0118,0.0256,0.0153,0.0256
Fridge-Freezer_2014-03-10_20,Fridge-Freezer,Appliance1,Base,2014-03-10 20:48:00,2014-03-10 21:17:00,29.0,2612.99,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.02,0.0435,0.0261,0.0435
Fridge-Freezer_2014-03-10_21,Fridge-Freezer,Appliance1,Base,2014-03-10 22:11:00,2014-03-10 22:49:00,38.0,4146.27,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0297,0.0691,0.0415,0.0691
Fridge-Freezer_2014-03-10_22,Fridge-Freezer,Appliance1,Base,2014-03-10 23:52:00,2014-03-11 00:40:00,48.0,3943.52,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0283,0.0657,0.0394,0.0657
Fridge-Freezer_2014-03-11_01,Fridge-Freezer,Appliance1,Base,2014-03-11 01:25:00,2014-03-11 01:53:00,28.0,2482.47,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0178,0.0414,0.0248,0.0414
Fridge-Freezer_2014-03-11_02,Fridge-Freezer,Appliance1,Base,2014-03-11 02:37:00,2014-03-11 02:57:00,20.0,1501.06,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0108,0.025,0.015,0.025
Fridge-Freezer_2014-03-11_03,Fridge-Freezer,Appliance1,Base,2014-03-11 02:58:00,2014-03-11 03:26:00,28.0,2509.25,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.018,0.0418,0.0251,0.0418
Fridge-Freezer_2014-03-11_04,Fridge-Freezer,Appliance1,Base,2014-03-11 04:33:00,2014-03-11 05:19:00,46.0,3992.5,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0286,0.0665,0.0399,0.0665
Fridge-Freezer_2014-03-11_05,Fridge-Freezer,Appliance1,Base,2014-03-11 06:05:00,2014-03-11 06:32:00,27.0,2403.06,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0172,0.0401,0.024,0.0401
Fridge-Freezer_2014-03-11_06,Fridge-Freezer,Appliance1,Base,2014-03-11 07:21:00,2014-03-11 08:07:00,46.0,4074.71,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0292,0.0679,0.0407,0.0679
Fridge-Freezer_2014-03-11_07,Fridge-Freezer,Appliance1,Base,2014-03-11 09:12:00,2014-03-11 09:50:00,38.0,4237.96,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0304,0.0706,0.0424,0.0706
Fridge-Freezer_2014-03-11_08,Fridge-Freezer,Appliance1,Base,2014-03-11 10:45:00,2014-03-11 11:14:00,29.0,2588.05,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0185,0.0431,0.0259,0.0431
Fridge-Freezer_2014-03-11_09,Fridge-Freezer,Appliance1,Base,2014-03-11 11:36:00,2014-03-11 11:59:00,23.0,1757.09,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0126,0.0293,0.0176,0.0293
Fridge-Freezer_2014-03-11_10,Fridge-Freezer,Appliance1,Base,2014-03-11 12:09:00,2014-03-11 12:42:00,33.0,2915.67,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0209,0.0486,0.0292,0.0486
Fridge-Freezer_2014-03-11_11,Fridge-Freezer,Appliance1,Base,2014-03-11 13:43:00,2014-03-11 14:13:00,30.0,4270.56,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0306,0.0712,0.0427,0.0712
Fridge-Freezer_2014-03-11_12,Fridge-Freezer,Appliance1,Base,2014-03-11 15:15:00,2014-03-11 15:44:00,29.0,2572.6,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0184,0.0429,0.0257,0.0429
Fridge-Freezer_2014-03-11_13,Fridge-Freezer,Appliance1,Base,2014-03-11 15:57:00,2014-03-11 16:16:00,19.0,1497.6,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0107,0.025,0.015,0.025
Fridge-Freezer_2014-03-11_14,Fridge-Freezer,Appliance1,Base,2014-03-11 16:46:00,2014-03-11 17:17:00,31.0,2789.79,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0219,0.0465,0.0279,0.0465
Fridge-Freezer_2014-03-11_15,Fridge-Freezer,Appliance1,Base,2014-03-11 17:50:00,2014-03-11 18:10:00,20.0,1550.02,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0132,0.0258,0.0155,0.0258
Fridge-Freezer_2014-03-11_16,Fridge-Freezer,Appliance1,Base,2014-03-11 18:18:00,2014-03-11 18:48:00,30.0,2653.81,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0226,0.0442,0.0265,0.0442
Fridge-Freezer_2014-03-11_17,Fridge-Freezer,Appliance1,Base,2014-03-11 19:50:00,2014-03-11 20:19:00,29.0,4192.09,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0333,0.0699,0.0419,0.0699
Fridge-Freezer_2014-03-11_18,Fridge-Freezer,Appliance1,Base,2014-03-11 21:22:00,2014-03-11 21:51:00,29.0,2633.79,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0202,0.0439,0.0263,0.0439
Fridge-Freezer_2014-03-11_19,Fridge-Freezer,Appliance1,Base,2014-03-11 22:01:00,2014-03-11 22:22:00,21.0,1547.59,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0111,0.0258,0.0155,0.0258
Fridge-Freezer_2014-03-11_20,Fridge-Freezer,Appliance1,Base,2014-03-11 22:54:00,2014-03-11 23:23:00,29.0,2578.22,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0185,0.043,0.0258,0.043
Fridge-Freezer_2014-03-12_01,Fridge-Freezer,Appliance1,Base,2014-03-12 00:11:00,2014-03-12 00:56:00,45.0,4110.88,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0295,0.0685,0.0411,0.0685
Fridge-Freezer_2014-03-12_02,Fridge-Freezer,Appliance1,Base,2014-03-12 02:01:00,2014-03-12 02:46:00,45.0,4050.68,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.029,0.0675,0.0405,0.0675
Fridge-Freezer_2014-03-12_03,Fridge-Freezer,Appliance1,Base,2014-03-12 03:35:00,2014-03-12 04:02:00,27.0,2298.63,False,Appliance1,Appliance1 (Fridge-Freezer),2014-03,0.0165,0.0383,0.023,0.0383
