event_id,appliance_name,appliance_ID,Shiftability,start_time,end_time,duration(min),energy(W),is_reschedulable,appliance_id,label,month,cost_Germany_Variable,energy_Germany_Variable,cost_Germany_Variable_Base,energy_Germany_Variable_Base
Television_Site_2014-03-30_01,Television Site,Appliance1,Non-shiftable,2014-03-30 07:35:00,2014-03-30 10:06:00,151.0,20920.2,False,Appliance6,Appliance6 (Television Site),2014-03,0.0962,0.3292,0.1119,0.3292
Television_Site_2014-03-30_02,Television Site,Appliance1,Non-shiftable,2014-03-30 16:24:00,2014-03-30 17:26:00,62.0,8953.37,False,Appliance6,Appliance6 (Television Site),2014-03,0.0479,0.1497,0.0509,0.1497
Television_Site_2014-04-06_01,Television Site,Appliance1,Non-shiftable,2014-04-06 14:40:00,2014-04-06 14:49:00,9.0,914.29,False,Appliance6,Appliance6 (Television Site),2014-04,0.008,0.0235,0.008,0.0235
Television_Site_2014-04-15_01,Television Site,Appliance1,Non-shiftable,2014-04-15 09:50:00,2014-04-15 10:19:00,29.0,3663.11,False,Appliance6,Appliance6 (Television Site),2014-04,0.0188,0.0628,0.0213,0.0628
Television_Site_2014-04-19_01,Television Site,Appliance1,Non-shiftable,2014-04-19 18:31:00,2014-04-19 20:01:00,90.0,18420.8,False,Appliance6,Appliance6 (Television Site),2014-04,0.0448,0.1404,0.0477,0.1404
Television_Site_2014-04-20_01,Television Site,Appliance1,Non-shiftable,2014-04-20 18:17:00,2014-04-20 19:52:00,95.0,15879.65,False,Appliance6,Appliance6 (Television Site),2014-04,0.0409,0.1277,0.0434,0.1277
Television_Site_2014-04-30_01,Television Site,Appliance1,Non-shiftable,2014-04-30 18:20:00,2014-04-30 21:46:00,206.0,36181.7,False,Appliance6,Appliance6 (Television Site),2014-04,0.0718,0.2407,0.0818,0.2407
Television_Site_2014-05-05_01,Television Site,Appliance1,Non-shiftable,2014-05-05 09:51:00,2014-05-05 10:52:00,61.0,3248.47,False,Appliance6,Appliance6 (Television Site),2014-05,0.0424,0.1412,0.048,0.1412
Television_Site_2014-05-06_01,Television Site,Appliance1,Non-shiftable,2014-05-06 18:05:00,2014-05-06 21:45:00,220.0,47949.8,False,Appliance6,Appliance6 (Television Site),2014-05,0.1085,0.3605,0.1226,0.3605
Television_Site_2014-05-11_01,Television Site,Appliance1,Non-shiftable,2014-05-11 17:36:00,2014-05-11 20:06:00,150.0,33453.5,False,Appliance6,Appliance6 (Television Site),2014-05,0.0755,0.237,0.0806,0.237
Television_Site_2014-05-18_01,Television Site,Appliance1,Non-shiftable,2014-05-18 18:20:00,2014-05-18 21:16:00,176.0,38545.88,False,Appliance6,Appliance6 (Television Site),2014-05,0.0802,0.2653,0.0902,0.2653
Television_Site_2014-05-21_01,Television Site,Appliance1,Non-shiftable,2014-05-21 18:13:00,2014-05-21 21:34:00,201.0,39555.18,False,Appliance6,Appliance6 (Television Site),2014-05,0.1115,0.3664,0.1246,0.3664
Television_Site_2014-05-25_01,Television Site,Appliance1,Non-shiftable,2014-05-25 06:41:00,2014-05-25 09:19:00,158.0,240.8,False,Appliance6,Appliance6 (Television Site),2014-05,0.0032,0.0119,0.0041,0.0119
Television_Site_2014-05-31_01,Television Site,Appliance1,Non-shiftable,2014-05-31 18:24:00,2014-05-31 21:22:00,178.0,35690.37,False,Appliance6,Appliance6 (Television Site),2014-05,0.1029,0.3382,0.115,0.3382
Television_Site_2014-06-14_01,Television Site,Appliance1,Non-shiftable,2014-06-14 17:48:00,2014-06-14 19:08:00,80.0,14627.76,False,Appliance6,Appliance6 (Television Site),2014-06,0.0395,0.1235,0.042,0.1235
Television_Site_2014-06-15_01,Television Site,Appliance1,Non-shiftable,2014-06-15 18:05:00,2014-06-15 19:34:00,89.0,16645.93,False,Appliance6,Appliance6 (Television Site),2014-06,0.05,0.1563,0.0532,0.1563
Television_Site_2014-06-18_01,Television Site,Appliance1,Non-shiftable,2014-06-18 06:12:00,2014-06-18 07:12:00,60.0,1489.6,False,Appliance6,Appliance6 (Television Site),2014-06,0.0173,0.0665,0.0226,0.0665
Television_Site_2014-06-19_01,Television Site,Appliance1,Non-shiftable,2014-06-19 18:11:00,2014-06-19 19:18:00,67.0,13611.09,False,Appliance6,Appliance6 (Television Site),2014-06,0.0358,0.112,0.0381,0.112
Television_Site_2014-06-22_01,Television Site,Appliance1,Non-shiftable,2014-06-22 18:04:00,2014-06-22 19:45:00,101.0,18956.98,False,Appliance6,Appliance6 (Television Site),2014-06,0.0829,0.259,0.0881,0.259
Television_Site_2014-06-27_01,Television Site,Appliance1,Non-shiftable,2014-06-27 19:29:00,2014-06-27 22:24:00,175.0,26913.77,False,Appliance6,Appliance6 (Television Site),2014-06,0.0685,0.2375,0.0808,0.2375
Television_Site_2014-06-28_01,Television Site,Appliance1,Non-shiftable,2014-06-28 17:52:00,2014-06-28 18:51:00,59.0,11798.73,False,Appliance6,Appliance6 (Television Site),2014-06,0.0312,0.0975,0.0332,0.0975
Television_Site_2014-06-29_01,Television Site,Appliance1,Non-shiftable,2014-06-29 18:25:00,2014-06-29 19:18:00,53.0,11370.66,False,Appliance6,Appliance6 (Television Site),2014-06,0.0293,0.0915,0.0311,0.0915
Television_Site_2014-06-30_01,Television Site,Appliance1,Non-shiftable,2014-06-30 17:13:00,2014-07-01 05:37:00,744.0,88484.47,False,Appliance6,Appliance6 (Television Site),2014-06,0.2021,0.6561,0.2231,0.6561
Television_Site_2014-07-01_01,Television Site,Appliance1,Non-shiftable,2014-07-01 05:38:00,2014-07-01 22:28:00,1010.0,40112.44,False,Appliance6,Appliance6 (Television Site),2014-07,0.4012,1.3186,0.4483,1.3186
Television_Site_2014-07-02_01,Television Site,Appliance1,Non-shiftable,2014-07-02 05:48:00,2014-07-02 18:05:00,737.0,22112.22,False,Appliance6,Appliance6 (Television Site),2014-07,0.2026,0.6412,0.218,0.6412
Television_Site_2014-07-03_01,Television Site,Appliance1,Non-shiftable,2014-07-03 13:04:00,2014-07-03 13:16:00,12.0,153.6,False,Appliance6,Appliance6 (Television Site),2014-07,0.0018,0.0052,0.0018,0.0052
Television_Site_2014-07-03_02,Television Site,Appliance1,Non-shiftable,2014-07-03 21:55:00,2014-07-03 22:01:00,6.0,178.13,False,Appliance6,Appliance6 (Television Site),2014-07,0.0,0.0,0.0,0.0
Television_Site_2014-07-03_03,Television Site,Appliance1,Non-shiftable,2014-07-03 23:33:00,2014-07-03 23:48:00,15.0,921.6,False,Appliance6,Appliance6 (Television Site),2014-07,0.0,0.0,0.0,0.0
Television_Site_2014-07-07_01,Television Site,Appliance1,Non-shiftable,2014-07-07 18:35:00,2014-07-08 19:28:00,1493.0,35099.32,False,Appliance6,Appliance6 (Television Site),2014-07,0.4128,1.3735,0.467,1.3735
Television_Site_2014-07-08_01,Television Site,Appliance1,Non-shiftable,2014-07-08 19:30:00,2014-07-08 21:33:00,123.0,2718.1,False,Appliance6,Appliance6 (Television Site),2014-07,0.0879,0.303,0.103,0.303
Television_Site_2014-07-16_01,Television Site,Appliance1,Non-shiftable,2014-07-16 20:03:00,2014-07-16 20:05:00,2.0,256.0,False,Appliance6,Appliance6 (Television Site),2014-07,0.0,0.0,0.0,0.0
Television_Site_2014-07-17_01,Television Site,Appliance1,Non-shiftable,2014-07-17 00:50:00,2014-07-17 00:52:00,2.0,25.6,False,Appliance6,Appliance6 (Television Site),2014-07,0.0,0.0,0.0,0.0
Television_Site_2014-07-17_02,Television Site,Appliance1,Non-shiftable,2014-07-17 13:48:00,2014-07-17 13:50:00,2.0,12.8,False,Appliance6,Appliance6 (Television Site),2014-07,0.0,0.0,0.0,0.0
Television_Site_2014-07-26_01,Television Site,Appliance1,Non-shiftable,2014-07-26 15:09:00,2014-07-27 10:08:00,1139.0,6711.02,False,Appliance6,Appliance6 (Television Site),2014-07,0.4226,1.3962,0.4747,1.3962
Television_Site_2014-07-30_01,Television Site,Appliance1,Non-shiftable,2014-07-30 18:28:00,2014-07-30 18:51:00,23.0,4204.1,False,Appliance6,Appliance6 (Television Site),2014-07,0.0181,0.0566,0.0193,0.0566
Television_Site_2014-07-31_01,Television Site,Appliance1,Non-shiftable,2014-07-31 18:15:00,2014-07-31 18:54:00,39.0,7506.83,False,Appliance6,Appliance6 (Television Site),2014-07,0.0321,0.1003,0.0341,0.1003
Television_Site_2014-08-02_01,Television Site,Appliance1,Non-shiftable,2014-08-02 13:46:00,2014-08-02 14:46:00,60.0,11430.05,False,Appliance6,Appliance6 (Television Site),2014-08,0.0501,0.1472,0.0501,0.1472
Television_Site_2014-08-04_01,Television Site,Appliance1,Non-shiftable,2014-08-04 18:06:00,2014-08-04 22:14:00,248.0,50600.27,False,Appliance6,Appliance6 (Television Site),2014-08,0.1053,0.3526,0.1199,0.3526
Television_Site_2014-08-05_01,Television Site,Appliance1,Non-shiftable,2014-08-05 18:18:00,2014-08-05 19:15:00,57.0,8681.76,False,Appliance6,Appliance6 (Television Site),2014-08,0.0344,0.1076,0.0366,0.1076
Television_Site_2014-08-06_01,Television Site,Appliance1,Non-shiftable,2014-08-06 07:52:00,2014-08-06 08:41:00,49.0,6317.8,False,Appliance6,Appliance6 (Television Site),2014-08,0.026,0.0895,0.0304,0.0895
Television_Site_2014-08-06_02,Television Site,Appliance1,Non-shiftable,2014-08-06 13:37:00,2014-08-06 13:48:00,11.0,2016.84,False,Appliance6,Appliance6 (Television Site),2014-08,0.0104,0.0305,0.0104,0.0305
Television_Site_2014-08-06_03,Television Site,Appliance1,Non-shiftable,2014-08-06 18:18:00,2014-08-06 19:06:00,48.0,9149.8,False,Appliance6,Appliance6 (Television Site),2014-08,0.0389,0.1216,0.0413,0.1216
Television_Site_2014-08-06_04,Television Site,Appliance1,Non-shiftable,2014-08-06 21:26:00,2014-08-06 21:29:00,3.0,263.31,False,Appliance6,Appliance6 (Television Site),2014-08,0.0029,0.0103,0.0035,0.0103
Television_Site_2014-08-06_05,Television Site,Appliance1,Non-shiftable,2014-08-06 21:59:00,2014-08-06 22:02:00,3.0,24.0,False,Appliance6,Appliance6 (Television Site),2014-08,0.0028,0.01,0.0034,0.01
Television_Site_2014-08-06_06,Television Site,Appliance1,Non-shiftable,2014-08-06 22:04:00,2014-08-06 22:06:00,2.0,22.4,False,Appliance6,Appliance6 (Television Site),2014-08,0.0021,0.0075,0.0025,0.0075
Television_Site_2014-08-07_01,Television Site,Appliance1,Non-shiftable,2014-08-07 18:19:00,2014-08-07 18:58:00,39.0,7431.8,False,Appliance6,Appliance6 (Television Site),2014-08,0.0318,0.0994,0.0338,0.0994
Television_Site_2014-08-08_01,Television Site,Appliance1,Non-shiftable,2014-08-08 18:41:00,2014-08-08 19:05:00,24.0,4331.71,False,Appliance6,Appliance6 (Television Site),2014-08,0.019,0.0593,0.0202,0.0593
Television_Site_2014-08-08_02,Television Site,Appliance1,Non-shiftable,2014-08-08 21:39:00,2014-08-08 21:41:00,2.0,100.7,False,Appliance6,Appliance6 (Television Site),2014-08,0.0,0.0,0.0,0.0
Television_Site_2014-08-09_01,Television Site,Appliance1,Non-shiftable,2014-08-09 03:40:00,2014-08-09 03:42:00,2.0,32.0,False,Appliance6,Appliance6 (Television Site),2014-08,0.0,0.0,0.0,0.0
Television_Site_2014-08-11_01,Television Site,Appliance1,Non-shiftable,2014-08-11 18:28:00,2014-08-11 19:02:00,34.0,6495.05,False,Appliance6,Appliance6 (Television Site),2014-08,0.0275,0.0859,0.0292,0.0859
Television_Site_2014-08-18_01,Television Site,Appliance1,Non-shiftable,2014-08-18 08:21:00,2014-08-18 09:53:00,92.0,5518.58,False,Appliance6,Appliance6 (Television Site),2014-08,0.0688,0.2292,0.0779,0.2292
Television_Site_2014-08-18_02,Television Site,Appliance1,Non-shiftable,2014-08-18 18:02:00,2014-08-18 19:19:00,77.0,14594.72,False,Appliance6,Appliance6 (Television Site),2014-08,0.0594,0.1855,0.0631,0.1855
Television_Site_2014-08-25_01,Television Site,Appliance1,Non-shiftable,2014-08-25 18:21:00,2014-08-25 19:09:00,48.0,13121.1,False,Appliance6,Appliance6 (Television Site),2014-08,0.0223,0.0697,0.0237,0.0697
Television_Site_2014-08-28_01,Television Site,Appliance1,Non-shiftable,2014-08-28 06:17:00,2014-08-28 06:19:00,2.0,27.2,False,Appliance6,Appliance6 (Television Site),2014-08,0.0018,0.0071,0.0024,0.0071
Television_Site_2014-08-29_01,Television Site,Appliance1,Non-shiftable,2014-08-29 05:45:00,2014-08-29 05:51:00,6.0,272.25,False,Appliance6,Appliance6 (Television Site),2014-08,0.0044,0.0169,0.0057,0.0169
Television_Site_2014-09-05_01,Television Site,Appliance1,Non-shiftable,2014-09-05 17:50:00,2014-09-05 18:38:00,48.0,8763.53,False,Appliance6,Appliance6 (Television Site),2014-09,0.0237,0.074,0.0252,0.074
Television_Site_2014-09-07_01,Television Site,Appliance1,Non-shiftable,2014-09-07 17:53:00,2014-09-07 19:04:00,71.0,12094.63,False,Appliance6,Appliance6 (Television Site),2014-09,0.0501,0.1565,0.0532,0.1565
Television_Site_2014-09-28_01,Television Site,Appliance1,Non-shiftable,2014-09-28 12:47:00,2014-09-28 12:50:00,3.0,21.71,False,Appliance6,Appliance6 (Television Site),2014-09,0.0,0.0,0.0,0.0
Television_Site_2014-09-29_01,Television Site,Appliance1,Non-shiftable,2014-09-29 18:52:00,2014-09-29 20:15:00,83.0,16204.14,False,Appliance6,Appliance6 (Television Site),2014-09,0.0432,0.1379,0.0469,0.1379
Television_Site_2014-10-04_01,Television Site,Appliance1,Non-shiftable,2014-10-04 19:07:00,2014-10-04 20:37:00,90.0,17056.91,False,Appliance6,Appliance6 (Television Site),2014-10,0.0589,0.197,0.067,0.197
Television_Site_2014-10-16_01,Television Site,Appliance1,Non-shiftable,2014-10-16 20:31:00,2014-10-16 20:33:00,2.0,26.0,False,Appliance6,Appliance6 (Television Site),2014-10,0.0024,0.0084,0.0029,0.0084
Television_Site_2014-10-21_01,Television Site,Appliance1,Non-shiftable,2014-10-21 20:55:00,2014-10-21 21:25:00,30.0,1852.8,False,Appliance6,Appliance6 (Television Site),2014-10,0.0218,0.0779,0.0265,0.0779
Television_Site_2014-10-23_01,Television Site,Appliance1,Non-shiftable,2014-10-23 02:28:00,2014-10-23 02:30:00,2.0,288.0,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-10-23_02,Television Site,Appliance1,Non-shiftable,2014-10-23 02:39:00,2014-10-23 02:48:00,9.0,408.0,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-10-23_03,Television Site,Appliance1,Non-shiftable,2014-10-23 03:38:00,2014-10-23 03:44:00,6.0,23.56,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-10-25_01,Television Site,Appliance1,Non-shiftable,2014-10-25 19:48:00,2014-10-26 00:05:00,257.0,26322.7,False,Appliance6,Appliance6 (Television Site),2014-10,0.0655,0.2289,0.0778,0.2289
Television_Site_2014-10-30_01,Television Site,Appliance1,Non-shiftable,2014-10-30 20:57:00,2014-10-30 22:03:00,66.0,3849.33,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0001,0.0,0.0001
Television_Site_2014-10-31_01,Television Site,Appliance1,Non-shiftable,2014-10-31 13:43:00,2014-10-31 13:46:00,3.0,12.0,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-10-31_02,Television Site,Appliance1,Non-shiftable,2014-10-31 14:05:00,2014-10-31 14:44:00,39.0,1625.14,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-10-31_03,Television Site,Appliance1,Non-shiftable,2014-10-31 14:57:00,2014-10-31 14:59:00,2.0,26.67,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-10-31_04,Television Site,Appliance1,Non-shiftable,2014-10-31 15:07:00,2014-10-31 15:12:00,5.0,144.0,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-10-31_05,Television Site,Appliance1,Non-shiftable,2014-10-31 15:21:00,2014-10-31 15:29:00,8.0,415.09,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-10-31_06,Television Site,Appliance1,Non-shiftable,2014-10-31 23:28:00,2014-10-31 23:32:00,4.0,51.14,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-10-31_07,Television Site,Appliance1,Non-shiftable,2014-10-31 23:48:00,2014-10-31 23:51:00,3.0,11.33,False,Appliance6,Appliance6 (Television Site),2014-10,0.0,0.0,0.0,0.0
Television_Site_2014-11-01_01,Television Site,Appliance1,Non-shiftable,2014-11-01 00:08:00,2014-11-01 00:13:00,5.0,68.57,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-01_02,Television Site,Appliance1,Non-shiftable,2014-11-01 01:23:00,2014-11-01 01:28:00,5.0,141.71,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-01_03,Television Site,Appliance1,Non-shiftable,2014-11-01 04:26:00,2014-11-01 04:34:00,8.0,416.0,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-01_04,Television Site,Appliance1,Non-shiftable,2014-11-01 04:47:00,2014-11-01 04:52:00,5.0,34.67,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-01_05,Television Site,Appliance1,Non-shiftable,2014-11-01 04:56:00,2014-11-01 04:59:00,3.0,50.14,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-01_06,Television Site,Appliance1,Non-shiftable,2014-11-01 05:36:00,2014-11-01 06:06:00,30.0,224.38,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-01_07,Television Site,Appliance1,Non-shiftable,2014-11-01 06:27:00,2014-11-01 06:29:00,2.0,20.57,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-01_08,Television Site,Appliance1,Non-shiftable,2014-11-01 07:00:00,2014-11-01 07:57:00,57.0,10935.51,False,Appliance6,Appliance6 (Television Site),2014-11,0.0012,0.0047,0.0016,0.0047
Television_Site_2014-11-05_01,Television Site,Appliance1,Non-shiftable,2014-11-05 19:25:00,2014-11-05 20:09:00,44.0,8539.01,False,Appliance6,Appliance6 (Television Site),2014-11,0.0191,0.0614,0.0209,0.0614
Television_Site_2014-11-06_01,Television Site,Appliance1,Non-shiftable,2014-11-06 17:25:00,2014-11-06 17:27:00,2.0,8.67,False,Appliance6,Appliance6 (Television Site),2014-11,0.0024,0.0075,0.0025,0.0075
Television_Site_2014-11-15_01,Television Site,Appliance1,Non-shiftable,2014-11-15 13:10:00,2014-11-15 13:12:00,2.0,12.22,False,Appliance6,Appliance6 (Television Site),2014-11,0.0026,0.0075,0.0026,0.0075
Television_Site_2014-11-15_02,Television Site,Appliance1,Non-shiftable,2014-11-15 19:08:00,2014-11-15 22:45:00,217.0,44131.01,False,Appliance6,Appliance6 (Television Site),2014-11,0.0889,0.3057,0.1039,0.3057
Television_Site_2014-11-18_01,Television Site,Appliance1,Non-shiftable,2014-11-18 08:23:00,2014-11-18 08:26:00,3.0,67.43,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-18_02,Television Site,Appliance1,Non-shiftable,2014-11-18 14:13:00,2014-11-18 14:15:00,2.0,10.57,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-20_01,Television Site,Appliance1,Non-shiftable,2014-11-20 15:30:00,2014-11-20 15:33:00,3.0,20.57,False,Appliance6,Appliance6 (Television Site),2014-11,0.0,0.0,0.0,0.0
Television_Site_2014-11-22_01,Television Site,Appliance1,Non-shiftable,2014-11-22 20:09:00,2014-11-22 23:05:00,176.0,35228.37,False,Appliance6,Appliance6 (Television Site),2014-11,0.0971,0.3469,0.1179,0.3469
Television_Site_2014-11-28_01,Television Site,Appliance1,Non-shiftable,2014-11-28 19:30:00,2014-11-28 22:53:00,203.0,41515.38,False,Appliance6,Appliance6 (Television Site),2014-11,0.1463,0.5132,0.1745,0.5132
Television_Site_2014-11-29_01,Television Site,Appliance1,Non-shiftable,2014-11-29 18:19:00,2014-11-29 20:32:00,133.0,24980.6,False,Appliance6,Appliance6 (Television Site),2014-11,0.0576,0.1856,0.0631,0.1856
Television_Site_2014-12-03_01,Television Site,Appliance1,Non-shiftable,2014-12-03 18:37:00,2014-12-03 22:45:00,248.0,9811.53,False,Appliance6,Appliance6 (Television Site),2014-12,0.1815,0.6184,0.2102,0.6184
Television_Site_2014-12-04_01,Television Site,Appliance1,Non-shiftable,2014-12-04 07:30:00,2014-12-04 09:36:00,126.0,4928.15,False,Appliance6,Appliance6 (Television Site),2014-12,0.0087,0.0335,0.0114,0.0335
Television_Site_2014-12-04_02,Television Site,Appliance1,Non-shiftable,2014-12-04 18:08:00,2014-12-05 22:56:00,1728.0,97574.66,False,Appliance6,Appliance6 (Television Site),2014-12,0.5185,1.753,0.596,1.753
Television_Site_2014-12-10_01,Television Site,Appliance1,Non-shiftable,2014-12-10 18:39:00,2014-12-10 22:10:00,211.0,29034.11,False,Appliance6,Appliance6 (Television Site),2014-12,0.1549,0.5249,0.1785,0.5249
Television_Site_2014-12-13_01,Television Site,Appliance1,Non-shiftable,2014-12-13 19:23:00,2014-12-13 22:47:00,204.0,41988.15,False,Appliance6,Appliance6 (Television Site),2014-12,0.0937,0.3251,0.1105,0.3251
Television_Site_2014-12-14_01,Television Site,Appliance1,Non-shiftable,2014-12-14 19:43:00,2014-12-14 20:59:00,76.0,13153.66,False,Appliance6,Appliance6 (Television Site),2014-12,0.0409,0.1417,0.0482,0.1417
Television_Site_2014-12-17_01,Television Site,Appliance1,Non-shiftable,2014-12-17 18:43:00,2014-12-17 22:54:00,251.0,43097.34,False,Appliance6,Appliance6 (Television Site),2014-12,0.11,0.3756,0.1277,0.3756
Television_Site_2014-12-20_01,Television Site,Appliance1,Non-shiftable,2014-12-20 19:22:00,2014-12-20 22:08:00,166.0,27246.17,False,Appliance6,Appliance6 (Television Site),2014-12,0.0786,0.2711,0.0922,0.2711
Television_Site_2014-12-21_01,Television Site,Appliance1,Non-shiftable,2014-12-21 11:17:00,2014-12-21 12:55:00,98.0,18654.61,False,Appliance6,Appliance6 (Television Site),2014-12,0.0793,0.2461,0.0837,0.2461
Television_Site_2014-12-21_02,Television Site,Appliance1,Non-shiftable,2014-12-21 20:50:00,2014-12-21 23:14:00,144.0,29513.27,False,Appliance6,Appliance6 (Television Site),2014-12,0.0627,0.224,0.0762,0.224
Television_Site_2014-12-22_01,Television Site,Appliance1,Non-shiftable,2014-12-22 13:34:00,2014-12-22 14:58:00,84.0,4980.58,False,Appliance6,Appliance6 (Television Site),2014-12,0.0735,0.2162,0.0735,0.2162
Television_Site_2014-12-23_01,Television Site,Appliance1,Non-shiftable,2014-12-23 18:54:00,2015-01-07 10:28:00,21094.0,291.23,False,Appliance6,Appliance6 (Television Site),2014-12,0.0011,0.0033,0.0011,0.0033
Television_Site_2015-01-07_01,Television Site,Appliance1,Non-shiftable,2015-01-07 23:38:00,2015-01-07 23:40:00,2.0,128.0,False,Appliance6,Appliance6 (Television Site),2015-01,0.0,0.0,0.0,0.0
Television_Site_2015-01-08_01,Television Site,Appliance1,Non-shiftable,2015-01-08 00:07:00,2015-01-08 00:09:00,2.0,91.43,False,Appliance6,Appliance6 (Television Site),2015-01,0.0,0.0,0.0,0.0
Television_Site_2015-01-08_02,Television Site,Appliance1,Non-shiftable,2015-01-08 00:24:00,2015-01-08 00:27:00,3.0,84.0,False,Appliance6,Appliance6 (Television Site),2015-01,0.0,0.0,0.0,0.0
Television_Site_2015-01-08_03,Television Site,Appliance1,Non-shiftable,2015-01-08 00:34:00,2015-01-08 00:36:00,2.0,10.57,False,Appliance6,Appliance6 (Television Site),2015-01,0.0,0.0,0.0,0.0
Television_Site_2015-01-08_04,Television Site,Appliance1,Non-shiftable,2015-01-08 00:57:00,2015-01-08 01:13:00,16.0,961.14,False,Appliance6,Appliance6 (Television Site),2015-01,0.0,0.0,0.0,0.0
Television_Site_2015-01-08_05,Television Site,Appliance1,Non-shiftable,2015-01-08 01:45:00,2015-01-08 01:54:00,9.0,135.11,False,Appliance6,Appliance6 (Television Site),2015-01,0.0,0.0,0.0,0.0
Television_Site_2015-01-08_06,Television Site,Appliance1,Non-shiftable,2015-01-08 02:17:00,2015-01-08 02:26:00,9.0,275.43,False,Appliance6,Appliance6 (Television Site),2015-01,0.0,0.0,0.0,0.0
Television_Site_2015-01-08_07,Television Site,Appliance1,Non-shiftable,2015-01-08 02:31:00,2015-01-08 02:35:00,4.0,62.86,False,Appliance6,Appliance6 (Television Site),2015-01,0.0,0.0,0.0,0.0
